relative_path,format,geometry_blocks,atom_count,composition,ordered_elements_sha256,transition_metal_positions_1based,cat_id_from_filename,ps_id_from_filename,stage_from_filename,blank_line_count,metadata_line_count,parse_status
MD_configurations/cat-10_pho-41_final.txt,headerless element-x-y-z,1,199,C:80;Cl:2;Cu:1;H:75;N:7;Na:4;O:23;P:2;S:4;Zn:1,77ad0784401950444d299babe2d935854c7d60e5dd65126989a2b74d72312abf,Zn:58;Cu:65,10,41,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-41_initial.txt,headerless element-x-y-z,1,199,C:80;Cl:2;Cu:1;H:75;N:7;Na:4;O:23;P:2;S:4;Zn:1,77ad0784401950444d299babe2d935854c7d60e5dd65126989a2b74d72312abf,Zn:58;Cu:65,10,41,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-4_final.txt,headerless element-x-y-z,1,191,C:83;Cl:2;Cu:1;H:81;N:7;O:13;P:2;S:1;Zn:1,b5f39491b6178437e1f6d38876b34c198ca48eeafae168ce6ec2a12e362d3908,Zn:54;Cu:61,10,4,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-4_initial.txt,headerless element-x-y-z,1,191,C:83;Cl:2;Cu:1;H:81;N:7;O:13;P:2;S:1;Zn:1,b5f39491b6178437e1f6d38876b34c198ca48eeafae168ce6ec2a12e362d3908,Zn:54;Cu:61,10,4,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-5_final.txt,headerless element-x-y-z,1,158,C:66;Cl:2;Cu:1;H:69;N:7;O:10;P:2;Zn:1,11a4eb68dd6fc62b2cf7df86de4191c4572f00cefa3ffa5ab328e5eed67932f5,Zn:54;Cu:61,10,5,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-5_initial.txt,headerless element-x-y-z,1,158,C:66;Cl:2;Cu:1;H:69;N:7;O:10;P:2;Zn:1,11a4eb68dd6fc62b2cf7df86de4191c4572f00cefa3ffa5ab328e5eed67932f5,Zn:54;Cu:61,10,5,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-6_final.txt,headerless element-x-y-z,1,161,C:67;Cl:2;Cu:1;H:71;N:7;O:10;P:2;Zn:1,f1c43c573a58e191afa7d44c14417d5f2432e774c51e06391c2a2123d7b9f238,Zn:54;Cu:61,10,6,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-6_initial.txt,headerless element-x-y-z,1,161,C:67;Cl:2;Cu:1;H:71;N:7;O:10;P:2;Zn:1,f1c43c573a58e191afa7d44c14417d5f2432e774c51e06391c2a2123d7b9f238,Zn:54;Cu:61,10,6,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-7_final.txt,headerless element-x-y-z,1,164,C:68;Cl:2;Cu:1;H:73;N:7;O:10;P:2;Zn:1,46be94bdd81553a531fdba7417453d5338b023542601bf5559d8abd877ad388b,Zn:54;Cu:61,10,7,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-7_initial.txt,headerless element-x-y-z,1,164,C:68;Cl:2;Cu:1;H:73;N:7;O:10;P:2;Zn:1,46be94bdd81553a531fdba7417453d5338b023542601bf5559d8abd877ad388b,Zn:54;Cu:61,10,7,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-8_final.txt,headerless element-x-y-z,1,165,C:71;Cl:2;Cu:1;H:71;N:7;O:10;P:2;Zn:1,c5d26c4999df558dcb34578005f1b01e9032a6a01502bcc61e500ba33e4d6106,Zn:54;Cu:61,10,8,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-8_initial.txt,headerless element-x-y-z,1,165,C:71;Cl:2;Cu:1;H:71;N:7;O:10;P:2;Zn:1,c5d26c4999df558dcb34578005f1b01e9032a6a01502bcc61e500ba33e4d6106,Zn:54;Cu:61,10,8,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-9_final.txt,headerless element-x-y-z,1,157,C:66;Cl:2;Cu:1;H:67;N:7;O:11;P:2;Zn:1,89dec917f0e028a12207b9c5b2aabb0d27bcbb736e5cb6c8f9dbc36cac86d506,Zn:54;Cu:61,10,9,final,0,0,all rows finite element-x-y-z
