coupling,row_block,n_rows,term,component,mean_absolute,rms,bias
Jstar,first_900,900,total,y,0.06711569492813418,0.11864472441355976,-0.0021421083067781578
Jstar,first_900,900,total,z,0.09496754224451094,0.15863433546596617,-0.012760313174352314
Jstar,last_100,100,cat,sum_xyz,0.2237811581480721,0.32474682233091967,0.014757899939474113
Jstar,last_100,100,cat,x,0.1765518412518493,0.2829275247694762,0.018690518376426667
Jstar,last_100,100,cat,y,0.05362809072020545,0.09886247736846336,-0.0016134415989127026
Jstar,last_100,100,cat,z,0.07836199092338797,0.12162441614794188,-0.0023191768380398476
Jstar,last_100,100,ps,sum_xyz,0.15866651856354946,0.2852788044518069,0.046712587481871216
Jstar,last_100,100,ps,x,0.13032028840393312,0.25680734846294223,0.03138678818010823
Jstar,last_100,100,ps,y,0.04100830444168075,0.07315048468175937,0.005617208095082867
Jstar,last_100,100,ps,z,0.05533621916078872,0.10337298468276089,0.009708591206680104
Jstar,last_100,100,cross,sum_xyz,0.08307499876951022,0.15526178671334215,-0.013830296987231013
Jstar,last_100,100,cross,x,0.07507662889649029,0.14240006014692536,-0.007549137208541814
Jstar,last_100,100,cross,y,0.018593991216594354,0.032435205582685055,-0.00042169393007425953
Jstar,last_100,100,cross,z,0.03444882723419667,0.06589026421516266,-0.005859465848614944
Jstar,last_100,100,first,sum_xyz,0.313666390358216,0.47790513577908217,0.06147048742134532
Jstar,last_100,100,first,x,0.27335966678910034,0.43746874846428024,0.05007730655653491
Jstar,last_100,100,first,y,0.08750307117922501,0.13951046142688023,0.0040037664961701655
Jstar,last_100,100,first,z,0.11584103578249559,0.17820961336243196,0.007389414368640255
Jstar,last_100,100,total,sum_xyz,0.2681423657595296,0.3999906616563396,0.04764019043411433
Jstar,last_100,100,total,x,0.22952942704829854,0.3652809297324088,0.04252816934799309
Jstar,last_100,100,total,y,0.07642498077028001,0.12329345120284214,0.0035820725660959045
Jstar,last_100,100,total,z,0.09380125861664038,0.14548554078119638,0.0015299485200253096
